id;cidade;regiao;lugar;categoria;perfil;descricao;maps;site;tipoLink
31;João Pessoa;Zona litorânea;Bessa Grill;Bar/ Restaurante;Vida Diurna e noturna;Forró do Turista realizado às segundas-feiras, com forró pé de serra e espaço para dançar;https://share.google/ig1G9STkqYkD4vIWp;https://www.instagram.com/jpbessagrill/;Instagram
32;Conde;Zona litorânea;Praia de Tambaba;Praia;Falésias/naturismo;"Uma das principais atrações do litoral sul; possui área oficial de naturismo.";https://maps.app.goo.gl/vyDZmUg5yREgUYPd8;https://conde.pb.gov.br/;Prefeitura de Conde
33;Conde;Zona litorânea;Praia de Coqueirinho;Praia;Falésias/praia;Praia de águas claras, coqueiros e falésias, com infraestrutura gastronômica.;https://www.google.com/maps/search/?api=1&query=Praia de Coqueirinho Conde PB;https://conde.pb.gov.br/;Prefeitura de Conde
34;Conde;Zona litorânea;Praia de Tabatinga;Praia;Falésias/paisagem;Praia do litoral sul com falésias e mirantes naturais.;https://www.google.com/maps/search/?api=1&query=Praia de Tabatinga Conde PB;https://conde.pb.gov.br/;Prefeitura de Conde
35;Conde;Zona litorânea;Praia de Carapibus;Praia;Piscinas naturais/praia;Trecho do litoral sul com falésias e piscinas naturais conforme maré.;https://www.google.com/maps/search/?api=1&query=Praia de Carapibus Conde PB;https://conde.pb.gov.br/;Prefeitura de Conde
36;Conde;Zona litorânea;Praia de Jacumã;Praia;Praia urbana;Principal área balneária de Conde, com comércio, bares e restaurantes.;https://www.google.com/maps/search/?api=1&query=Praia de Jacumã Conde PB;https://conde.pb.gov.br/;Prefeitura de Conde
37;Conde;Zona litorânea;Praia do Amor;Praia;Paisagem;Praia conhecida pela formação rochosa em formato associado a um arco/coração.;https://www.google.com/maps/search/?api=1&query=Praia do Amor Conde PB;https://conde.pb.gov.br/;Prefeitura de Conde
38;Conde;Zona litorânea;Falésias de Tabatinga;Ponto turístico;Mirante/paisagem;Área de falésias coloridas com vistas do litoral.;https://www.google.com/maps/search/?api=1&query=Falésias de Tabatinga Conde PB;https://conde.pb.gov.br/;Prefeitura de Conde
39;Conde;Zona litorânea;Restaurante Sol e Mar na praia de Coqueirinho;Restaurante;Frutos do mar/praia;Restaurante em área da Praia de Coqueirinho.;https://share.google/JqDOCvIvDqr21RsNi;https://instagram.com/quiosquesolemarcoqueirinho?igshid=OGQ2MjdiOTE=;Instagram
40;Conde;Zona litorânea;Trattoria Casa Rustica;Restaurante;Italiana;Restaurante italiano em Jacumã.;https://www.google.com/maps/search/?api=1&query=Trattoria Casa Rustica Jacumã Conde PB;https://www.instagram.com/trattoriacasarustica1/;Instagram
41;Conde;Zona litorânea;Churrascaria Jacumã Grill;Bar / Restaurante;Comida/vida noturna;;https://maps.app.goo.gl/rrYZRWYtWrJx7BhL9;https://www.instagram.com/jacumagrill/;Instagram
42;Conde;Zona litorânea;Burger do Rôla;Restaurante;Comida;Hambúrgueres artesanais, pizzas e esfihas.;https://share.google/id2OrTgYj2JUWLx11;https://www.instagram.com/burgerdorola/;Instagram
43;Conde;Zona litorânea;Pizzaria Canoa;Restaurante;Comida;Pizzas artesanais no forno a lenha;https://share.google/R9qZSSYAghe2cuWLW;https://www.instagram.com/canoapizzaria_pb/;Instagram
44;Cabedelo;Zona litorânea;Praia de Intermares;Praia;Surf/praia;Praia urbana conhecida por ondas, bares e restaurantes.;https://www.google.com/maps/search/?api=1&query=Praia de Intermares Cabedelo PB;https://cabedelo.pb.gov.br/;Prefeitura de Cabedelo
45;Cabedelo;Zona litorânea;Praia de Ponta de Campina;Praia;Praia/estrutura;Trecho de litoral com restaurantes e estrutura de praia.;https://www.google.com/maps/search/?api=1&query=Praia de Ponta de Campina Cabedelo PB;https://cabedelo.pb.gov.br/;Prefeitura de Cabedelo
46;Cabedelo;Zona litorânea;Praia de Camboinha;Praia;Praia/piscinas;Uma das praias mais procuradas de Cabedelo, com águas geralmente tranquilas.;https://www.google.com/maps/search/?api=1&query=Praia de Camboinha Cabedelo PB;https://cabedelo.pb.gov.br/;Prefeitura de Cabedelo
47;Cabedelo;Zona litorânea;Praia do Poço;Praia;Praia/relaxamento;Trecho tradicional do litoral de Cabedelo.;https://www.google.com/maps/search/?api=1&query=Praia do Poço Cabedelo PB;https://cabedelo.pb.gov.br/;Prefeitura de Cabedelo
48;Cabedelo;Zona litorânea;Praia Formosa;Praia;Praia urbana;Praia no litoral de Cabedelo, próxima à área central.;https://www.google.com/maps/search/?api=1&query=Praia Formosa Cabedelo PB;https://cabedelo.pb.gov.br/;Prefeitura de Cabedelo
49;Cabedelo;Zona litorânea;Areia Vermelha;Passeio;Banco de areia/piscinas;Ilha/banco de areia acessível em passeios de barco conforme maré e condições locais.;https://www.google.com/maps/search/?api=1&query=Ilha de Areia Vermelha Cabedelo PB;https://cabedelo.pb.gov.br/;Prefeitura de Cabedelo
50;Cabedelo;Zona litorânea;Praia do Jacaré;Ponto turístico;Pôr do sol;Tradicional ponto para assistir ao pôr do sol às margens do Rio Paraíba.;https://www.google.com/maps/search/?api=1&query=Praia do Jacaré Cabedelo PB;https://turismo.joaopessoa.pb.gov.br/o-que-fazer/pontos-turisticos/praias-e-piscinas-naturais/por-do-jacare/;Turismo oficial
51;Cabedelo;Zona litorânea;Gigante do Mar Beach;Restaurante;Frutos do mar;Restaurante à beira-mar em Camboinha.;https://www.google.com/maps/search/?api=1&query=Gigante do Mar Beach Camboinha Cabedelo PB;https://www.instagram.com/gigantedomaroficial/;Instagram
52;Cabedelo;Zona litorânea;Novo Oriente Intermares;Restaurante;Sushi;Restaurante de culinária japonesa na região de Intermares.;https://www.google.com/maps/search/?api=1&query=Novo Oriente Intermares Cabedelo PB;https://www.instagram.com/novo_oriente/;Instagram
